date,state,fips,cases,deaths,dtc100,population,deaths100k
2020-07-16,Florida,12,315767,4676,1.4808387196888844,21477737,21.77138122140149
2020-07-17,Florida,12,327233,4804,1.4680670959224773,21477737,22.367347174425316
2020-07-18,Florida,12,337561,4894,1.4498120339731189,21477737,22.78638573514519
2020-07-19,Florida,12,350039,4981,1.4229842960355847,21477737,23.191456343841068
2020-07-20,Florida,12,360386,5071,1.407102384665331,21477737,23.61049490456094
2020-07-21,Florida,12,369826,5205,1.4074186238933983,21477737,24.234396761632755
2020-07-22,Florida,12,379611,5344,1.407756887972161,21477737,24.881578538744563
2020-07-23,Florida,12,389860,5517,1.4151233776227363,21477737,25.68706377212832
2020-07-24,Florida,12,402304,5652,1.4049077314667515,21477737,26.315621613208133
2020-07-25,Florida,12,414503,5776,1.393476042392938,21477737,26.892963630199958
2020-07-26,Florida,12,423847,5853,1.3809228330034187,21477737,27.25147439881585
2020-07-27,Florida,12,432739,5930,1.3703410138674814,21477737,27.60998516743175
2020-07-28,Florida,12,441969,6116,1.3838074616092984,21477737,28.475998192919484
2020-07-29,Florida,12,451415,6332,1.4027003976385366,21477737,29.48169073864719
2020-07-30,Florida,12,461371,6585,1.4272678603553322,21477737,30.659654692670838
2020-07-31,Florida,12,470378,6842,1.454574831305886,21477737,31.856242582726477
2020-08-01,Florida,12,480020,7021,1.4626473896920962,21477737,32.68966372015823
2020-08-02,Florida,12,487124,7083,1.4540445553904138,21477737,32.97833472865414
2020-03-01,New York,36,1,0,0.0,19453561,0.0
2020-03-02,New York,36,1,0,0.0,19453561,0.0
2020-03-03,New York,36,2,0,0.0,19453561,0.0
2020-03-04,New York,36,11,0,0.0,19453561,0.0
2020-03-05,New York,36,22,0,0.0,19453561,0.0
2020-03-06,New York,36,44,0,0.0,19453561,0.0
2020-03-07,New York,36,89,0,0.0,19453561,0.0
2020-03-08,New York,36,106,0,0.0,19453561,0.0
2020-03-09,New York,36,142,0,0.0,19453561,0.0
2020-03-10,New York,36,173,0,0.0,19453561,0.0
2020-03-11,New York,36,217,0,0.0,19453561,0.0
2020-03-12,New York,36,326,0,0.0,19453561,0.0
2020-03-13,New York,36,421,0,0.0,19453561,0.0
2020-03-14,New York,36,610,2,0.32786885245901637,19453561,0.010280894073840773
2020-03-15,New York,36,732,6,0.819672131147541,19453561,0.03084268222152232
2020-03-16,New York,36,950,10,1.0526315789473684,19453561,0.05140447036920386
2020-03-17,New York,36,1375,18,1.309090909090909,19453561,0.09252804666456696
2020-03-18,New York,36,2387,32,1.3405948889819856,19453561,0.16449430518145236
